raw,confidence,top_gap,internal_total,ood_total,correct_accept,wrong_internal_accept,rejected_internal,ood_false_accept,ood_true_reject,accepted_precision,internal_recall,f1,f0_5,ood_rejection,external_call_rate,objective
0.41,0.64,0.015,112,64,46,15,51,1,63,0.7419354838709677,0.4107142857142857,0.528735632183908,0.638888888888889,0.984375,0.6477272727272727,0.6796254960317462
0.42,0.64,0.015,112,64,46,15,51,1,63,0.7419354838709677,0.4107142857142857,0.528735632183908,0.638888888888889,0.984375,0.6477272727272727,0.6796254960317462
0.43,0.64,0.015,112,64,46,15,51,1,63,0.7419354838709677,0.4107142857142857,0.528735632183908,0.638888888888889,0.984375,0.6477272727272727,0.6796254960317462
0.44,0.64,0.015,112,64,46,15,51,1,63,0.7419354838709677,0.4107142857142857,0.528735632183908,0.638888888888889,0.984375,0.6477272727272727,0.6796254960317462
0.45,0.64,0.015,112,64,46,15,51,1,63,0.7419354838709677,0.4107142857142857,0.528735632183908,0.638888888888889,0.984375,0.6477272727272727,0.6796254960317462
0.46,0.64,0.015,112,64,46,15,51,1,63,0.7419354838709677,0.4107142857142857,0.528735632183908,0.638888888888889,0.984375,0.6477272727272727,0.6796254960317462
0.47,0.64,0.015,112,64,46,15,51,1,63,0.7419354838709677,0.4107142857142857,0.528735632183908,0.638888888888889,0.984375,0.6477272727272727,0.6796254960317462
0.48,0.64,0.015,112,64,46,15,51,1,63,0.7419354838709677,0.4107142857142857,0.528735632183908,0.638888888888889,0.984375,0.6477272727272727,0.6796254960317462
0.49,0.64,0.015,112,64,46,15,51,1,63,0.7419354838709677,0.4107142857142857,0.528735632183908,0.638888888888889,0.984375,0.6477272727272727,0.6796254960317462
0.5,0.64,0.015,112,64,46,15,51,1,63,0.7419354838709677,0.4107142857142857,0.528735632183908,0.638888888888889,0.984375,0.6477272727272727,0.6796254960317462
0.51,0.64,0.015,112,64,46,15,51,1,63,0.7419354838709677,0.4107142857142857,0.528735632183908,0.638888888888889,0.984375,0.6477272727272727,0.6796254960317462
0.52,0.64,0.015,112,64,46,15,51,1,63,0.7419354838709677,0.4107142857142857,0.528735632183908,0.638888888888889,0.984375,0.6477272727272727,0.6796254960317462
0.53,0.64,0.015,112,64,46,15,51,1,63,0.7419354838709677,0.4107142857142857,0.528735632183908,0.638888888888889,0.984375,0.6477272727272727,0.6796254960317462
